ID,date,meals_served,kitchen_staff,temperature_C,humidity_percent,day_of_week,special_event,past_waste_kg,staff_experience,waste_category
50,2024-05-23,351.0,17.0,17.71746858,66.06616174,3,0,7.57896395,Intermediate,Dairy
51,2023-02-03,441.0,5.0,19.01931298,70.90491865,4,0,41.72355691,Intermediate,Meat
52,2023-09-09,385.0,15.0,33.57077854,57.51587661,5,0,8.089189977,Intermediate,Meat
53,2022-02-19,373.0,10.0,21.71348542,88.36657937,5,0,34.33553895,Intermediate,Dairy
54,2022-07-19,236.0,5.0,34.80333291,89.4757936,1,0,5.945949803,Expert,Vegetables
55,2023-08-22,326.0,6.0,19.28521419,33.63773556,1,0,29.0735003,Intermediate,Grains
56,2024-08-27,352.0,15.0,34.49456145,49.98209231,1,0,14.91435944,Expert,Meat
57,2024-06-01,407.0,14.0,23.62763821,62.86708166,5,1,13.27030993,Intermediate,Meat
58,2023-05-13,188.0,19.0,22.74310617,54.94785004,5,0,35.44900857,Intermediate,Vegetables
59,2023-08-27,251.0,11.0,13.73094445,43.81505524,6,0,17.57503883,Beginner,Dairy
60,2022-01-11,430.0,16.0,12.10245561,48.89517532,1,0,8.646737471,Beginner,Meat
61,2024-06-07,205.0,10.0,23.72096642,61.18225577,4,0,17.58363433,Intermediate,Meat
62,2023-11-02,352.0,12.0,21.85840275,54.16586391,3,0,42.34195691,Intermediate,Vegetables
63,2024-07-26,121.0,15.0,16.91104226,69.89967097,4,0,16.29006424,Intermediate,Meat
64,2024-07-17,259.0,13.0,21.29242048,53.13681077,2,0,49.15317015,Intermediate,Wheat
65,2023-07-12,479.0,13.0,25.48744379,62.90292217,2,0,19.02072828,Intermediate,Wheat
66,2023-09-29,483.0,11.0,28.65518144,40.56572828,4,0,35.33078907,Expert,Dairy
67,2024-04-14,177.0,9.0,19.97090074,43.60364294,6,0,28.2054448,Intermediate,Vegetables
68,2023-08-06,189.0,9.0,19.67696901,73.53763202,6,0,38.72205575,Intermediate,Meat
69,2022-11-30,294.0,9.0,10.36667643,56.47342282,2,0,23.55813772,Beginner,Meat
70,2022-07-30,195.0,18.0,19.32121593,79.00339215,5,0,38.40320922,Intermediate,Dairy
71,2022-01-20,357.0,13.0,10.48122008,81.98319086,3,0,26.44075721,Intermediate,Vegetables
72,2023-04-03,295.0,11.0,19.46191059,37.79579547,0,0,26.85410894,Expert,Meat
73,2022-03-30,312.0,13.0,32.79590087,43.21351808,2,0,19.30921481,Intermediate,Meat
74,2024-05-29,385.0,14.0,20.44974835,57.00699159,2,0,10.58483155,Intermediate,Meat
75,2022-12-17,376.0,13.0,23.73535596,44.42294332,5,0,10.78684187,Intermediate,Wheat
76,2022-08-07,485.0,10.0,24.48537248,65.41713258,6,0,13.73732911,Expert,Meat
77,2023-02-18,454.0,18.0,31.73149062,64.99544955,5,0,46.02766446,Intermediate,Meat
78,2022-10-05,250.0,8.0,13.58855905,88.24452922,2,0,34.13560733,Intermediate,Vegetables
79,2024-08-17,418.0,17.0,31.4218484,51.35826195,5,0,16.93438416,Intermediate,Meat
80,2022-08-02,212.0,12.0,11.72831965,81.11047421,1,0,22.32961713,Expert,Meat
81,2023-12-05,445.0,19.0,18.00149581,55.88283893,1,0,41.91458397,Beginner,Meat
82,2022-05-17,200.0,19.0,11.02958738,32.96981121,1,0,44.54461624,Intermediate,Meat
83,2022-07-28,473.0,11.0,25.04638459,42.9630819,3,0,5.555347073,Intermediate,Meat
84,2023-06-07,440.0,7.0,24.32603572,71.28266663,2,0,33.33327552,Intermediate,Dairy
85,2023-07-23,384.0,17.0,15.72236512,86.24270629,6,0,17.6626842,Expert,Dairy
86,2022-09-18,425.0,8.0,12.21388961,54.84901346,6,0,49.48429942,Beginner,Vegetables
87,2023-04-13,368.0,7.0,14.26194845,36.96136088,3,0,7.419754025,Intermediate,Meat
88,2022-01-31,444.0,5.0,29.27460731,83.93084329,0,0,16.55345733,Intermediate,Meat
89,2023-11-29,374.0,19.0,15.52658429,75.10633038,2,0,25.26271177,Intermediate,Dairy
90,2023-03-28,363.0,14.0,24.82029979,58.01808,1,0,40.45865601,Intermediate,Vegetables
91,2022-02-24,341.0,8.0,30.64801914,67.28066984,3,0,7.164153969,Intermediate,Meat
92,2022-01-24,291.0,8.0,14.48743309,75.78931748,0,1,31.6535617,Intermediate,Wheat
93,2022-01-08,202.0,10.0,28.73278065,31.866936,5,0,22.54548858,Intermediate,Meat
94,2022-04-24,491.0,9.0,32.69546632,88.24597239,6,0,13.12332028,Beginner,Meat
95,2022-04-20,235.0,5.0,28.0471907,70.58558174,2,0,23.67321962,Intermediate,Dairy
96,2023-05-22,448.0,7.0,19.77606908,53.68406123,0,1,47.02396743,Beginner,Dairy
97,2024-08-24,107.0,12.0,28.1296387,65.82574621,5,0,12.40696732,Beginner,Meat
98,2024-08-07,172.0,10.0,14.22135517,43.75031707,2,0,49.69693384,Intermediate,Meat
99,2022-01-04,206.0,11.0,15.71562904,74.2841474,1,0,22.28191873,Beginner,Meat
100,2022-10-03,228.0,7.0,13.1435378,39.09505757,0,0,24.66731848,Beginner,Meat
101,2023-10-19,306.0,15.0,32.4725206,81.3124191,3,0,27.61095424,Beginner,Meat
102,2024-02-24,134.0,6.0,-10.0,37.79648234,5,0,49.35957123,Beginner,Meat
103,2024-05-04,405.0,19.0,18.64801119,54.69932763,5,0,11.32462076,Intermediate,Dairy
104,2024-03-07,350.0,15.0,17.48608776,37.50751543,3,0,25.8891777,Intermediate,Vegetables
105,2022-01-29,352.0,12.0,33.67797183,78.44376182,5,0,10.3802899,Intermediate,Wheat
106,2023-01-30,273.0,6.0,24.83846423,71.86537656,0,0,36.81568824,Intermediate,Vegetables
107,2023-05-02,495.0,12.0,31.6171548,59.91424797,1,0,8.688458059,Intermediate,Wheat
108,2023-09-07,454.0,16.0,12.55373824,62.81157846,3,0,5.822378138,Beginner,Meat
109,2024-05-27,197.0,6.0,10.55087901,84.8838669,0,0,45.42598738,Beginner,Dairy
110,2022-06-24,269.0,16.0,23.56196589,45.4016537,4,0,6.084958703,Beginner,Wheat
111,2024-07-06,107.0,9.0,33.66594885,37.02396249,5,0,17.66077798,Beginner,Meat
112,2022-02-28,485.0,18.0,15.75134208,68.10534635,0,0,17.23039322,Intermediate,Dairy
113,2022-09-23,445.0,9.0,21.99742704,37.80286695,4,0,10.16391197,Beginner,Meat
114,2024-02-29,355.0,18.0,28.38764016,88.34519994,3,0,6.848067776,Expert,Meat
115,2022-04-11,256.0,10.0,18.1481366,57.86599417,0,0,44.26947825,Intermediate,Meat
116,2022-02-16,120.0,13.0,16.51342332,87.97460464,2,0,18.41340427,Intermediate,Wheat
117,2022-10-27,307.0,18.0,33.52188391,42.43854019,3,1,25.68400688,Intermediate,Meat
118,2023-09-08,306.0,10.0,26.46730366,40.81847613,4,0,45.68609087,Intermediate,Dairy
119,2022-06-28,383.0,9.0,15.51402812,35.53708752,1,0,25.66991484,Intermediate,Meat
120,2024-07-22,104.0,19.0,14.66808239,73.54355462,0,0,22.22974163,Expert,Wheat
121,2022-05-20,104.0,5.0,13.10549917,47.09448129,4,0,21.71959301,Intermediate,Dairy
122,2024-03-14,245.0,17.0,28.68048969,69.90877165,3,0,26.81102826,Intermediate,Wheat
123,2022-06-18,426.0,17.0,20.84138335,81.77283017,5,0,44.324373,Beginner,Meat
124,2022-03-08,149.0,7.0,34.11301181,47.02970682,1,0,45.2135864,Beginner,Vegetables
125,2022-03-09,459.0,19.0,29.00235196,79.47208849,2,0,8.358729399,Intermediate,Wheat
126,2022-01-28,121.0,19.0,29.07691577,43.96578883,4,0,34.99776882,Beginner,Dairy
127,2022-01-13,472.0,5.0,23.99610781,70.90016894,3,1,48.95574678,Intermediate,Meat
128,2023-06-16,109.0,13.0,17.9382862,84.36395314,4,0,16.50375922,Intermediate,Vegetables
129,2022-11-16,2930.0,19.0,17.92989292,33.46446311,2,1,20.74344729,Intermediate,Meat
130,2024-09-11,286.0,17.0,34.70163917,50.01640734,2,0,41.09172216,Intermediate,Meat
131,2024-05-16,328.0,12.0,25.61063616,52.88646248,3,0,9.172166486,Expert,Vegetables
132,2023-07-31,134.0,14.0,20.11996073,61.84424132,0,0,18.8466266,Intermediate,Meat
133,2022-10-14,468.0,12.0,16.38266312,79.60889843,4,0,32.55240946,Intermediate,Wheat
134,2024-06-30,250.0,17.0,28.85269201,70.32336233,6,0,33.05836378,Intermediate,Meat
135,2022-11-20,268.0,7.0,26.22686647,88.17646361,6,0,19.17547282,Beginner,Meat
136,2024-06-09,180.0,11.0,15.65367629,66.32896015,6,0,37.7605516,Intermediate,Meat
137,2023-06-21,279.0,8.0,21.95585058,53.85885478,2,0,6.497058703,Expert,Meat
138,2023-11-24,400.0,5.0,17.92306193,84.13418421,4,0,26.49839569,Expert,Vegetables
139,2023-06-13,456.0,9.0,13.47995062,31.88530929,1,0,46.01816266,Intermediate,Vegetables
140,2023-08-09,490.0,14.0,13.34509341,80.83166634,2,0,15.46864873,Intermediate,Meat
141,2022-01-03,370.0,14.0,30.49867294,64.63498385,0,0,41.55161544,Beginner,Vegetables
142,2023-03-22,279.0,12.0,21.06024841,41.34237148,2,0,19.56788715,Expert,Wheat
143,2023-05-11,217.0,9.0,18.65804421,41.16138,3,0,13.75407649,Beginner,Vegetables
144,2023-07-02,435.0,11.0,10.00831265,40.90435144,6,0,41.79305202,Intermediate,Meat
145,2024-05-08,488.0,18.0,15.91960773,66.330286,2,0,42.64389008,Expert,Vegetables
146,2023-06-14,122.0,10.0,32.45654068,74.1720255,2,0,14.96827725,Intermediate,Vegetables
147,2022-12-13,363.0,12.0,23.16559493,33.56829413,1,0,15.91602197,Intermediate,Dairy
148,2023-08-07,214.0,13.0,34.09555689,67.18407429,0,1,46.30283974,Beginner,Vegetables
149,2023-08-17,348.0,13.0,30.85758415,78.59161124,3,0,41.67824453,Intermediate,Meat
150,2022-11-05,203.0,16.0,34.83342343,81.15346691,5,0,37.8578054,Intermediate,Meat
151,2022-08-20,323.0,11.0,32.09274174,60.70088319,5,0,45.62437046,Expert,Dairy
152,2023-09-22,495.0,5.0,21.26549142,59.89416003,4,0,38.18344749,Intermediate,Dairy
153,2023-08-25,135.0,13.0,22.48334587,85.83640829,4,0,19.4326036,Intermediate,Meat
154,2023-10-25,320.0,13.0,16.38533712,78.28518732,2,0,44.52871384,Intermediate,Dairy
155,2022-01-10,314.0,18.0,14.66571445,36.38062358,0,0,11.21069692,Beginner,Meat
156,2024-07-04,473.0,8.0,14.04049528,30.12111106,3,0,20.17701032,Intermediate,Dairy
157,2022-11-11,252.0,12.0,29.12977161,51.20764443,4,0,18.627345,Beginner,Wheat
158,2022-04-17,108.0,5.0,27.01141566,56.71476674,6,0,25.58493751,Intermediate,Meat
159,2022-02-25,364.0,18.0,17.45936077,63.55108841,4,0,18.30492677,Intermediate,Vegetables
160,2022-05-01,127.0,7.0,22.05890954,83.48880094,6,0,35.40295893,Intermediate,Dairy
161,2023-01-06,479.0,6.0,24.52330133,42.03906104,4,0,12.4079231,Intermediate,Dairy
162,2022-01-26,260.0,10.0,29.72017455,75.55492398,2,0,21.41018043,Intermediate,Vegetables
163,2022-03-14,205.0,19.0,28.6459253,33.86947627,0,0,20.17862764,pro,Grains
164,2022-01-21,443.0,17.0,21.03022943,42.93179213,4,0,19.32368426,Intermediate,Meat
165,2022-02-14,406.0,10.0,19.29583823,55.28664249,0,0,28.56036108,Expert,Meat
166,2022-10-24,198.0,14.0,29.88775929,89.98282825,0,0,48.07386336,Expert,Vegetables
167,2022-11-25,376.0,10.0,19.51049261,59.51586601,4,0,26.28623765,Intermediate,Meat
168,2022-09-05,393.0,14.0,27.63463985,80.5034017,0,0,7.113784599,Intermediate,Meat
169,2022-12-03,275.0,18.0,26.06439922,51.73608523,5,0,10.87270518,Beginner,Meat
170,2022-12-28,148.0,8.0,14.92885316,61.63357085,2,0,10.4762888,Intermediate,Meat
171,2022-01-02,448.0,16.0,10.09246361,56.13032726,6,0,29.8900387,Intermediate,Grains
172,2024-08-18,147.0,18.0,12.9410997,30.94879177,6,1,12.63916406,Intermediate,Grains
173,2023-01-17,290.0,11.0,17.38195723,78.55099027,1,0,39.77019447,Intermediate,Meat
174,2023-11-26,391.0,13.0,16.46079051,88.46233432,6,0,39.55864901,Intermediate,Grains
175,2023-06-24,349.0,16.0,11.99913486,46.03515779,5,0,7.840845914,pro,Grains
176,2023-09-15,3160.0,14.0,29.52926059,38.21994378,4,1,24.26698279,Intermediate,Meat
177,2022-07-29,259.0,6.0,25.81351333,57.99646708,4,0,11.43323949,Intermediate,Grains
178,2023-07-09,495.0,12.0,15.29388377,64.23897743,6,0,46.88708337,Intermediate,Meat
179,2022-01-13,472.0,5.0,23.54260385,70.90016894,3,1,48.95574678,Expert,Meat
180,2023-04-27,216.0,16.0,16.0914179,46.1380819,3,0,18.02484027,Intermediate,Grains
181,2023-03-09,306.0,19.0,18.52725061,47.39820714,3,0,37.67500667,Expert,Dairy
182,2023-09-19,118.0,12.0,21.25311081,69.54682587,1,0,24.73913751,Intermediate,Dairy
183,2022-03-02,191.0,19.0,31.70135806,43.10659097,2,0,31.93677983,Beginner,Grains
184,2023-09-14,467.0,7.0,16.32646082,70.46093874,3,0,13.32141339,Beginner,Grains
185,2024-01-26,111.0,12.0,26.0841295,73.90348419,4,0,18.56583768,Intermediate,Vegetables
186,2022-04-03,466.0,12.0,10.03079588,31.95874065,6,0,26.00276422,Intermediate,Grains
187,2024-06-20,361.0,6.0,29.67425337,55.82248498,3,0,45.20321281,Beginner,Dairy
188,2023-04-08,146.0,17.0,24.51187517,86.57902901,5,0,17.3164306,Beginner,Vegetables
189,2023-10-29,338.0,5.0,21.95638236,60.88101703,6,0,31.64996297,Intermediate,Meat
190,2024-09-03,113.0,12.0,15.24382369,60.81666279,1,0,43.73005198,Beginner,Grains
191,2023-04-23,191.0,9.0,34.35411572,46.7063645,6,1,35.71936723,pro,Grains
192,2022-11-29,234.0,18.0,21.11048632,63.76270194,1,0,38.51315275,Intermediate,Grains
193,2023-12-02,266.0,12.0,23.94533064,38.89067569,5,0,42.16734136,Intermediate,Meat
194,2023-04-10,410.0,5.0,34.0416434,52.63881968,0,0,9.387846161,Intermediate,Dairy
195,2022-12-22,416.0,13.0,20.77155229,43.24472931,3,0,21.27411927,Beginner,Grains
196,2022-12-29,116.0,13.0,21.97958074,67.9526466,3,0,31.46421369,pro,Grains
197,2022-11-09,211.0,12.0,12.72774079,65.58087002,2,0,23.40883169,Intermediate,Dairy
198,2022-11-15,437.0,16.0,31.94727898,62.95934876,1,0,47.2399166,Beginner,Meat
199,2023-01-16,215.0,13.0,14.61462824,79.31559816,0,1,37.53822362,Expert,Dairy
200,2022-07-02,439.0,18.0,14.35483341,54.25438378,5,0,13.85995423,Intermediate,Grains
201,2023-12-18,460.0,15.0,28.95462528,83.33324544,0,0,46.98304815,Intermediate,Grains
202,2022-04-21,162.0,14.0,26.42459644,37.90160631,3,0,37.87216149,Beginner,Vegetables
203,2023-06-15,349.0,18.0,30.73331013,49.81456676,3,0,7.527290446,Expert,Meat
204,2023-01-13,194.0,7.0,13.08056635,34.14177245,4,0,8.031959218,Intermediate,Dairy
205,2023-12-15,247.0,13.0,13.76690269,54.05650575,4,0,48.54842712,Intermediate,Meat
206,2024-05-22,291.0,7.0,18.45657763,77.11612869,2,1,26.70233,Beginner,Grains
207,2024-01-02,416.0,18.0,14.84884668,73.60495345,1,0,43.4144547,pro,Grains
208,2022-10-20,136.0,14.0,30.77192978,79.84131063,3,0,21.74540969,Intermediate,Meat
209,2023-03-13,285.0,16.0,32.63811981,73.23930872,0,0,19.09699145,Beginner,Meat
210,2024-04-15,465.0,18.0,33.06557645,82.76046121,0,0,27.3764249,Expert,Grains
211,2022-11-04,212.0,16.0,31.66096669,38.87904884,4,0,5.498534867,Intermediate,Meat
212,2022-10-17,403.0,12.0,19.35741918,60.44678197,0,0,41.47106977,Beginner,Vegetables
213,2022-08-04,1510.0,11.0,12.43483481,34.65687868,3,0,47.85868877,Intermediate,Grains
214,2023-09-23,332.0,15.0,32.06148601,54.4004442,5,0,29.16685916,Intermediate,Meat
215,2022-10-08,362.0,15.0,14.05954737,58.67270688,5,0,35.92830032,Expert,Dairy
216,2023-11-05,273.0,11.0,33.00742953,84.0829858,6,0,34.85131403,Expert,Meat
217,2023-03-27,200.0,14.0,16.77868591,64.99599107,0,0,6.150640959,Expert,Meat
218,2022-10-26,403.0,12.0,25.01523856,79.00541581,2,0,34.35237999,Beginner,Meat
219,2024-02-25,352.0,11.0,30.62826669,63.60550185,6,0,40.60779316,Expert,Dairy
220,2022-05-18,230.0,9.0,26.75963646,79.99902429,2,1,30.12585418,Expert,Meat
221,2022-11-02,215.0,16.0,25.12384807,57.68673071,2,0,39.60140201,Expert,Vegetables
222,2024-03-18,366.0,13.0,24.13874912,70.26331703,0,0,28.91105743,Intermediate,Vegetables
223,2023-08-23,276.0,16.0,16.64627842,71.39998424,2,0,6.696397621,Expert,Meat
224,2023-08-05,192.0,5.0,14.42217863,42.29887257,5,0,15.5524765,Expert,Meat
225,2022-01-30,335.0,12.0,14.15943967,33.5456334,6,0,30.76892839,Intermediate,Meat
226,2022-06-15,135.0,12.0,21.75456482,73.10575379,2,0,40.36663743,Intermediate,Dairy
227,2022-11-07,353.0,8.0,12.26204238,84.41656853,0,0,24.53234792,Intermediate,Meat
228,2024-04-23,306.0,16.0,29.67816507,48.77178965,1,1,31.27636802,Expert,Meat
229,2022-12-09,137.0,19.0,32.8559129,65.48440557,4,0,13.22380247,Intermediate,Meat
230,2023-08-29,289.0,17.0,31.6165098,54.9385312,1,1,44.8926137,Intermediate,Dairy
231,2023-06-11,353.0,8.0,17.84319228,72.56297803,6,0,31.21828907,Expert,Vegetables
232,2022-03-07,180.0,7.0,31.4340023,64.0302468,0,0,11.1059743,Intermediate,Meat
233,2023-09-24,175.0,11.0,12.642337,87.18120127,6,0,42.79989923,Intermediate,Dairy
234,2024-06-10,232.0,5.0,31.1729682,61.00739635,0,0,41.59164448,Beginner,Grains
235,2024-02-10,277.0,19.0,12.60343395,62.54826021,5,0,26.93229988,Intermediate,Dairy
236,2022-08-10,200.0,7.0,26.30308114,57.00740167,2,0,6.161422679,Intermediate,Meat
237,2022-08-24,229.0,10.0,26.73476004,75.71440921,2,0,31.51465765,Intermediate,Dairy
238,2023-03-06,453.0,5.0,-10.0,57.79036301,0,1,48.43443373,Intermediate,Vegetables
239,2023-03-17,249.0,10.0,24.8937682,79.42668541,4,0,28.55332333,Beginner,Meat
240,2023-08-12,213.0,9.0,24.55370574,88.89919943,5,0,33.10987884,Intermediate,Vegetables
241,2024-08-30,402.0,5.0,27.17152494,59.61005953,4,1,38.82968545,Beginner,Meat
242,2022-09-07,424.0,15.0,31.60540444,63.58130669,2,0,9.101328775,Intermediate,Grains
243,2023-08-02,436.0,13.0,18.85590601,68.67547048,2,0,8.28516168,Intermediate,Meat
244,2023-02-14,1380.0,5.0,13.7425992,47.55090546,1,0,6.107809273,Intermediate,Grains
245,2022-03-13,153.0,12.0,28.11056682,65.92849778,6,0,39.67012495,Beginner,Grains
246,2022-04-05,379.0,7.0,25.18266121,33.88121361,1,1,12.47236347,Intermediate,Grains
247,2023-10-07,495.0,14.0,34.78971022,53.71235558,5,0,6.923282273,Intermediate,Grains
248,2022-09-17,286.0,12.0,14.50026094,85.5382398,5,0,5.999831691,Intermediate,Vegetables
249,2022-07-24,333.0,13.0,30.89995159,35.06354283,6,0,42.67567482,Intermediate,Dairy
250,2024-03-09,104.0,18.0,25.93883161,50.67624507,5,1,26.61324165,Intermediate,Meat
251,2023-09-13,183.0,8.0,33.25797212,83.86048036,2,0,29.19130816,Intermediate,Grains
252,2023-01-01,257.0,10.0,25.43379394,50.00443933,6,0,41.3777697,Expert,Meat
253,2022-03-26,314.0,12.0,23.25885984,77.3496508,5,0,18.82575328,Expert,Dairy
254,2024-09-21,393.0,9.0,12.1794867,59.96590619,5,0,23.10678728,Beginner,Meat
255,2022-03-24,403.0,5.0,13.84145095,55.7509556,3,0,46.87891144,Intermediate,Vegetables
256,2023-06-10,388.0,16.0,21.983861,80.29592157,5,0,48.99154822,Intermediate,Meat
257,2023-03-16,224.0,18.0,26.13224594,82.91953018,3,0,5.306661406,Beginner,Grains
258,2023-07-22,143.0,17.0,25.82974065,72.60812591,5,0,28.08407074,Intermediate,Meat
259,2023-07-15,200.0,10.0,14.26661896,62.81779508,5,0,5.07396907,Beginner,Dairy
260,2023-06-27,356.0,14.0,24.85726876,81.42777359,1,0,25.30699763,Expert,Meat
261,2022-11-28,491.0,5.0,23.64217221,61.34664872,0,1,19.8752451,Intermediate,Vegetables
262,2022-01-06,288.0,5.0,10.02800279,80.62423958,3,0,49.49759891,Intermediate,Meat
263,2022-04-15,444.0,5.0,13.73951607,40.23491469,4,0,32.62907553,Beginner,Meat
264,2022-04-08,287.0,9.0,15.63850356,71.66702737,4,0,9.785178381,Intermediate,Meat
265,2024-04-12,2440.0,13.0,15.63059256,72.86464582,4,0,18.92357577,Expert,Meat
266,2024-02-27,181.0,14.0,19.3365649,72.50938185,1,0,20.26491343,Intermediate,Vegetables
267,2023-03-01,499.0,17.0,13.54435984,57.23681089,2,0,11.81170271,Intermediate,Meat
268,2024-07-23,191.0,12.0,12.35090261,67.03494125,1,0,37.35840292,Intermediate,Dairy
269,2022-10-09,351.0,9.0,14.70872709,61.93545187,6,0,48.27271132,Intermediate,Vegetables
270,2022-09-24,246.0,17.0,27.1491934,80.12881418,5,0,27.06838336,Beginner,Dairy
271,2023-06-19,199.0,16.0,26.65767215,82.65882118,0,0,12.5356885,Intermediate,Dairy
272,2023-03-30,159.0,18.0,15.77072973,86.42691034,3,0,17.03368753,Intermediate,Dairy
273,2022-12-26,134.0,7.0,26.36732704,31.83296743,0,0,17.39914552,Beginner,Grains
274,2023-05-06,100.0,15.0,11.57772583,36.65865148,5,1,18.82155416,Intermediate,Meat
275,2024-09-18,462.0,10.0,23.13587281,82.42337521,2,0,43.02368841,Intermediate,Vegetables
276,2024-03-27,197.0,11.0,11.40340259,76.93027579,2,0,35.00291884,Beginner,Vegetables
277,2022-04-29,330.0,17.0,24.27261255,46.13753675,4,0,18.38126891,Intermediate,Meat
278,2023-09-27,305.0,10.0,11.19577051,57.53780876,2,0,49.72027889,Intermediate,Meat
279,2022-09-08,471.0,14.0,23.95350624,36.31555111,3,0,17.86552402,Intermediate,Grains
280,2023-12-19,100.0,14.0,28.58559465,62.67034614,1,0,31.39303015,Beginner,Dairy
281,2023-12-06,118.0,9.0,28.8296834,73.14959382,2,1,30.28387054,Intermediate,Dairy
282,2022-01-10,314.0,18.0,14.82832161,36.38062358,0,0,11.21069692,Beginner,Meat
